,Date,Mood,Tags,Weather
589,2023 Wed Jul 5 8:11 AM,Wistful,Outside;Walking;By myself,broken clouds
590,2023 Wed Jul 5 8:09 AM,Balanced;Loving,Outside;Walking;By myself,broken clouds
591,2023 Tue Jul 4 6:31 PM,Relaxed;Pensive,Vacation home;Eating;Pets;Family,broken clouds
592,2023 Tue Jul 4 9:37 AM,Relaxed;Wistful,Vacation home;Hanging out;By myself,clear sky
593,2023 Mon Jul 3 7:04 PM,Confident;Peaceful,Vacation home;Resting;By myself,scattered clouds
594,2023 Mon Jul 3 5:33 PM,Annoyed,Commuting;Between places;Strangers,scattered clouds
595,2023 Mon Jul 3 12:29 PM,Accomplished;At Ease,Outside;Walking;By myself,moderate rain
596,2023 Mon Jul 3 6:53 AM,Balanced;Pensive,Home;Writing;Waking up;Pets,few clouds
597,2023 Sun Jul 2 7:59 PM,Relaxed;Longing,Home;Resting;By myself,clear sky
598,2023 Sun Jul 2 10:46 AM,Upbeat,Outside;Walking;By myself,clear sky
599,2023 Sun Jul 2 8:12 AM,Disengaged;Meh,Home;Writing;Waking up;Pets;By myself,broken clouds
600,2023 Sat Jul 1 7:36 PM,Mellow;Lonely,Home;Resting;Pets,overcast clouds
601,2023 Sat Jul 1 1:00 PM,Melancholic;Loving,Home;Spacied out;By myself,overcast clouds
602,2023 Sat Jul 1 10:14 AM,Optimistic,At friends;Resting;Pets,overcast clouds
603,2023 Sat Jul 1 8:15 AM,Grateful;Empathetic,Outside;Walking;By myself,light rain
604,2023 Fri Jun 30 6:30 PM,Tired,Home;Resting;By myself,broken clouds
605,2023 Fri Jun 30 4:00 PM,Connected,Work;Hanging out;Co-workers,overcast clouds
606,2023 Fri Jun 30 1:24 PM,Accomplished;Excited,Home;Resting;Eating;By myself,overcast clouds
607,2023 Fri Jun 30 6:32 AM,Good,Home;Waking up;Pets,overcast clouds
608,2023 Thu Jun 29 10:13 PM,Restless;Envious,Home;Resting;By myself,overcast clouds
609,2023 Thu Jun 29 4:50 PM,Insecure,Home;Resting;By myself,light rain
610,2023 Thu Jun 29 4:41 PM,Accomplished;Uncertain,At friends;Helping someone;Cleaning;Resting;Pets,light rain
611,2023 Thu Jun 29 6:32 AM,Thoughtful;Longing,Home;Writing;Waking up;Pets,few clouds
612,2023 Wed Jun 28 5:45 PM,Empowered;Longing,Home;After dancing;Pets,broken clouds
613,2023 Wed Jun 28 1:52 PM,Relaxed;Accomplished,At friends;Helping someone;Cleaning;Resting;Pets,few clouds
614,2023 Wed Jun 28 11:38 AM,Tired,Home;Resting;By myself,few clouds
615,2023 Wed Jun 28 7:00 AM,Optimistic;Melancholic,Home;Writing;Waking up;Pets,broken clouds
616,2023 Tue Jun 27 6:51 PM,Balanced;Optimistic,Home;Resting;Pets,broken clouds
617,2023 Tue Jun 27 4:41 PM,Relaxed;Chill,Home;Resting;By myself,broken clouds
618,2023 Tue Jun 27 8:30 AM,Thoughtful;Sympathetic,At friends;Home;Helping someone;Cleaning;By myself,few clouds
619,2023 Tue Jun 27 6:45 AM,Balanced;Meh,Home;Writing;Waking up;Pets,few clouds
620,2023 Mon Jun 26 8:08 PM,Accomplished;Sympathetic,At friends;Cleaning;Helping someone;By myself,
621,2023 Mon Jun 26 5:37 PM,Safe;Satisfied,Home;Resting;Friends;By myself,
622,2023 Mon Jun 26 5:05 PM,Accepted;Relaxed,At friends;Hanging out;Friends,
623,2023 Mon Jun 26 1:54 PM,Disengaged,Home;Resting;By myself,scattered clouds
624,2023 Mon Jun 26 11:45 AM,Energized;Challenged,Library;Writing;Friends,clear sky
625,2023 Mon Jun 26 7:51 AM,Determined;Nostalgic,Home;Writing;Pets,few clouds
626,2023 Sun Jun 25 6:49 PM,Envious;Excluded,Home;Resting;By myself,overcast clouds
627,2023 Sun Jun 25 4:35 PM,Sad;Longing,Home;Resting;By myself,overcast clouds
628,2023 Sun Jun 25 3:08 PM,Lonely;Apathetic,Home;Watching shows;Resting;Pets;By myself,overcast clouds
629,2023 Sun Jun 25 8:40 AM,Disconnected,Home;Waking up;By myself,overcast clouds
630,2023 Sun Jun 25 1:48 AM,Happy;Upbeat,At friends;Home;Listening to music;Resting;Hanging out;Family;Friends;By myself,
631,2023 Sat Jun 24 6:19 PM,Chill,At friends;Listening to music;Hanging out;Eating;Family;Friends,
632,2023 Sat Jun 24 2:53 PM,Upbeat,Outside;Commuting;Between places;Listening to music;Strangers;By myself,few clouds
633,2023 Sat Jun 24 2:34 PM,Confident;Melancholic,Commuting;Between places;By myself;Strangers,few clouds
634,2023 Sat Jun 24 12:41 PM,Chill;Empty,Home;Back from run;By myself,few clouds
635,2023 Sat Jun 24 11:45 AM,Alive;Joyful,Outside;Running;By myself,few clouds
636,2023 Sat Jun 24 8:20 AM,Tired;Meh,Home;Waking up;Pets,few clouds
637,2023 Fri Jun 23 7:11 PM,Nostalgic;Lonely,Home;Watching shows;By myself,
638,2023 Fri Jun 23 2:20 PM,Tranquil;Lonely,Outside;Listening to music;Hanging out;By myself,overcast clouds
639,2023 Fri Jun 23 9:35 AM,Alienated;Longing,Home;Waking up;Pets,overcast clouds
640,2023 Thu Jun 22 6:24 PM,At Ease,Outside;Hanging out;Eating;Co-workers,
641,2023 Thu Jun 22 11:05 AM,Sympathetic,Home;Back from run;Resting;By myself,scattered clouds
642,2023 Thu Jun 22 7:57 AM,Proud;Motivated,Home;Writing;Pets,scattered clouds
643,2023 Wed Jun 21 9:05 PM,Relieved;Accomplished,Home;Resting;Pets,few clouds
644,2023 Wed Jun 21 1:54 PM,Tired,Home;Resting;By myself,scattered clouds
645,2023 Wed Jun 21 1:52 PM,Excited;Nervous,Home;Resting;By myself,scattered clouds
646,2023 Wed Jun 21 7:58 AM,Challenged;Nervous,Home;Writing;Pets,scattered clouds
647,2023 Tue Jun 20 7:01 PM,Challenged;Determined,Home;Writing;By myself,overcast clouds
648,2023 Tue Jun 20 3:51 PM,Tired;Longing,Home;Resting;By myself,overcast clouds
649,2023 Tue Jun 20 12:19 PM,Compassionate;Nervous,,broken clouds
650,2023 Tue Jun 20 12:15 PM,Focused;Empowered,Home;Writing;By myself,broken clouds
651,2023 Tue Jun 20 6:46 AM,Thoughtful;Resigned,Home;Waking up;By myself,broken clouds
652,2023 Tue Jun 20 6:43 AM,Pressured;Insecure,Home;Waking up;By myself,broken clouds
653,2023 Mon Jun 19 6:31 PM,Balanced,Outside;Hanging out;Pets;Friends,overcast clouds
654,2023 Mon Jun 19 1:08 PM,Sad;Resigned,Home;Writing;By myself,scattered clouds
655,2023 Mon Jun 19 10:33 AM,Challenged;Discouraged,Home;Back from run;By myself,scattered clouds
656,2023 Mon Jun 19 6:00 AM,Excluded;Sad,Home;Waking up;By myself,fog
657,2023 Sun Jun 18 11:35 PM,Anxious,Home;Resting;By myself,clear sky
658,2023 Sun Jun 18 7:36 PM,Overwhelmed;Inadequate,Home;Resting;By myself,broken clouds
659,2023 Sun Jun 18 6:58 PM,Spent;Longing,Home;Resting;By myself,broken clouds
660,2023 Sun Jun 18 4:45 PM,Fatigued;Ashamed,Work;Resting;By myself,broken clouds
661,2023 Sun Jun 18 12:45 PM,Vulnerable;Confused,Home;Waking up;Pets,broken clouds
662,2023 Sat Jun 17 6:35 PM,Balanced;Empowered,Outside;Listening to music;By myself,light rain
663,2023 Sat Jun 17 10:37 AM,Wishful;Balanced,Home;Back from run;By myself,overcast clouds
664,2023 Sat Jun 17 6:12 AM,Sad;Longing,Home;Resting;By myself,few clouds
665,2023 Fri Jun 16 11:26 PM,Valued;Nostalgic,Home;Resting;By myself,overcast clouds
666,2023 Fri Jun 16 2:36 PM,Joyful,Outside;Listening to music;Friends,broken clouds
667,2023 Thu Jun 15 7:05 PM,Ecstatic,Outside;Listening to music;Friends,scattered clouds
668,2023 Thu Jun 15 10:38 AM,Included;Longing,Home;Resting;By myself,
669,2023 Wed Jun 14 11:27 PM,Satisfied,Outside;Listening to music;Friends,
670,2023 Wed Jun 14 1:54 PM,Chill,Outside;Listening to music;By myself,
671,2023 Wed Jun 14 9:51 AM,Empowered;Grateful,Home;Listening to music;By myself,
672,2023 Wed Jun 14 9:10 AM,Excited;Eager,Home;Back from run;By myself,
673,2023 Tue Jun 13 7:03 PM,Balanced;Meh,,
674,2023 Tue Jun 13 6:00 PM,Excited;Glum,Home;Hanging out;Pets,
675,2023 Tue Jun 13 5:57 PM,Discouraged;Down,Home;Hanging out;Pets,
676,2023 Tue Jun 13 1:46 PM,Frustrated;Annoyed,Work;Co-workers,
677,2023 Tue Jun 13 11:33 AM,Tired;Resigned,Home;Hanging out;By myself,
678,2023 Tue Jun 13 4:41 AM,Regretful;Confused,Home;Waking up;By myself,
679,2023 Mon Jun 12 8:49 PM,Chill,Home;Resting;Pets,
680,2023 Mon Jun 12 5:55 PM,Accomplished,Home;Pets,
681,2023 Mon Jun 12 2:00 PM,Fatigued,Home;Resting;By myself,
682,2023 Mon Jun 12 12:07 PM,Accomplished;Anxious,Home;Writing;By myself,
683,2023 Mon Jun 12 7:44 AM,Engaged,Home;Writing;Pets,
684,2023 Sun Jun 11 6:52 PM,Mellow;Apathetic,Home;Resting;Pets,
685,2023 Sun Jun 11 3:55 PM,Pleased,Outside;Hanging out;By myself,
686,2023 Sun Jun 11 1:28 PM,Relaxed;Tired,Home;Hanging out;By myself,
687,2023 Sun Jun 11 11:15 AM,Desire;Fulfilled,Home;Resting;By myself,
688,2023 Sun Jun 11 7:52 AM,Optimistic;Balanced,Home;Resting;Pets,clear sky
689,2023 Sun Jun 11 6:22 AM,Worried;Lonely,Home;Waking up;By myself,
690,2023 Sat Jun 10 10:34 PM,Fatigued,Home;Resting;Pets,
691,2023 Sat Jun 10 7:20 PM,Accomplished,Outside;Commuting;Back from run;By myself,
692,2023 Sat Jun 10 11:47 AM,Challenged,Commuting;Hanging out;By myself,
693,2023 Sat Jun 10 10:41 AM,Confused;Determined,Home;Hanging out;Pets,
694,2023 Sat Jun 10 6:09 AM,Nostalgic;Longing,Home;Waking up;Pets,
695,2023 Fri Jun 9 7:30 PM,Bored;Longing,Home;Resting;By myself,
696,2023 Fri Jun 9 4:33 PM,Accomplished;Relaxed,Work;Resting;By myself,
697,2023 Fri Jun 9 11:32 AM,Cheerful,Work;Exams;Co-workers,
698,2023 Fri Jun 9 6:31 AM,At Ease;Balanced,Home;Waking up;Pets,
699,2023 Thu Jun 8 8:47 PM,Exhausted,Home;Resting;Pets,
700,2023 Thu Jun 8 4:45 PM,Curious;Inspired,Outside;Hanging out;Co-workers;Friends,
701,2023 Thu Jun 8 11:39 AM,Fatigued,Work;Co-workers,
702,2023 Thu Jun 8 6:10 AM,Meh;Confident,Home;Waking up;Pets,
703,2023 Wed Jun 7 8:46 PM,Discouraged;Disappointed,Home;Resting;Pets,
704,2023 Wed Jun 7 6:29 PM,Empowered;Energized,Outside;After dancing,
705,2023 Wed Jun 7 4:35 PM,Playful;Energized,Outside;By myself,
706,2023 Wed Jun 7 5:09 AM,Worried,Home;Waking up;By myself,
707,2023 Wed Jun 7 5:06 AM,Thoughtful;Optimistic,Home;Waking up;Pets,
708,2023 Tue Jun 6 8:00 PM,Excited;Hopeful,Outside;By myself,
709,2023 Tue Jun 6 6:31 PM,Satisfied;Tired,Home;Resting;Pets,
710,2023 Tue Jun 6 7:27 AM,At Ease;Mellow,Home;Back from run;By myself,
711,2023 Mon Jun 5 8:27 PM,Balanced,Home;Resting;By myself,
712,2023 Mon Jun 5 8:22 PM,Lonely,Home;Resting;By myself,
713,2023 Mon Jun 5 8:17 PM,Thoughtful;Pensive,Home;Resting;By myself,
